2,0.132047,0.128374,0.125264,0.123436,0.121711,0.120268,0.119341
2.5,0.147714,0.147772,0.147559,0.147406,0.147546,0.147733,0.147662
3,0.176645,0.176794,0.176717,0.176654,0.176964,0.177139,0.177158
3.5,0.212898,0.212872,0.212705,0.212606,0.212704,0.212306,0.211261
4,0.23943,0.240156,0.240118,0.239354,0.239321,0.240198,0.240479
4.5,0.266722,0.266414,0.26561,0.266832,0.265686,0.265691,0.266958
5,0.295013,0.29558,0.295615,0.295764,0.294843,0.294948,0.295539
5.5,0.322272,0.321606,0.321616,0.321759,0.322176,0.321717,0.321928
6,0.352371,0.352091,0.352289,0.351609,0.351817,0.351735,0.352095
6.5,0.37665,0.376557,0.376836,0.376256,0.376075,0.375998,0.375931
7,0.40008,0.402976,0.40384,0.403397,0.403756,0.403725,0.403532
0,0,0,0,0,0,0,0
